Jugador_0 Ronda_0 0
Jugador_1 Ronda_1 1000000
Jugador_2 Ronda_2 2000000
Jugador_3 Ronda_3 3000000
Jugador_10 Ronda_4 4000000
Jugador_10 Ronda_4 5000000
Jugador_10 Ronda_4 6000000
Jugador_10 Ronda_4 7000000
Jugador_10 Ronda_4 8000000
Jugador_10 Ronda_4 9000000
Jugador_10 Ronda_4 10000000
Jugador_10 Ronda_4 11000000
Jugador_16 Ronda_8 12000000
Jugador_16 Ronda_8 13000000
Jugador_16 Ronda_8 14000000
Jugador_16 Ronda_8 15000000
Jugador_16 Ronda_8 16000000
Jugador_16 Ronda_8 17000000
Jugador_16 Ronda_8 18000000
Jugador_16 Ronda_8 19000000
Jugador_16 Ronda_8 20000000
Jugador_16 Ronda_8 21000000
Jugador_16 Ronda_8 22000000
Jugador_16 Ronda_8 23000000
Jugador_16 Ronda_8 24000000
Jugador_16 Ronda_8 25000000
Jugador_16 Ronda_8 26000000
Jugador_16 Ronda_8 27000000
Jugador_13 Ronda_4 28000000
Jugador_13 Ronda_4 29000000
Jugador_13 Ronda_4 30000000
Jugador_13 Ronda_4 31000000
Jugador_13 Ronda_4 32000000
Jugador_13 Ronda_4 33000000
Jugador_13 Ronda_4 34000000
Jugador_13 Ronda_4 35000000
Jugador_13 Ronda_4 36000000
Jugador_13 Ronda_4 37000000
Jugador_13 Ronda_4 38000000
Jugador_13 Ronda_4 39000000
